Entity,Code,Year,Annual COâ‚‚ emissions,name,region
Afghanistan,AFG,2022,12147948.0,Afghanistan,Asia
Albania,ALB,2022,4954730.0,Albania,Europe
Algeria,DZA,2022,176345140.0,Algeria,Africa
Andorra,AND,2022,368645.0,Andorra,Europe
Angola,AGO,2022,16070269.0,Angola,Africa
Anguilla,AIA,2022,138967.0,Anguilla,Americas
Antigua and Barbuda,ATG,2022,602192.0,Antigua and Barbuda,Americas
Argentina,ARG,2022,192864430.0,Argentina,Americas
Armenia,ARM,2022,6407760.0,Armenia,Asia
Aruba,ABW,2022,865874.0,Aruba,Americas
Australia,AUS,2022,392279260.0,Australia,Oceania
Austria,AUT,2022,61488424.0,Austria,Europe
Azerbaijan,AZE,2022,38062656.0,Azerbaijan,Asia
Bahamas,BHS,2022,2120000.0,Bahamas,Americas
Bahrain,BHR,2022,37795670.0,Bahrain,Asia
Bangladesh,BGD,2022,102103340.0,Bangladesh,Asia
Barbados,BRB,2022,1232837.0,Barbados,Americas
Belarus,BLR,2022,58801130.0,Belarus,Europe
Belgium,BEL,2022,89605360.0,Belgium,Europe
Belize,BLZ,2022,725231.0,Belize,Americas
Benin,BEN,2022,8432160.0,Benin,Africa
Bermuda,BMU,2022,445408.0,Bermuda,Americas
Bhutan,BTN,2022,1055528.0,Bhutan,Asia
Bolivia,BOL,2022,21493740.0,Bolivia,Americas
Botswana,BWA,2022,7467293.0,Botswana,Africa
Brazil,BRA,2022,483477300.0,Brazil,Americas
Bulgaria,BGR,2022,46147496.0,Bulgaria,Europe
Burkina Faso,BFA,2022,5962168.0,Burkina Faso,Africa
Burundi,BDI,2022,798451.0,Burundi,Africa
Cambodia,KHM,2022,19955042.0,Cambodia,Asia
Cameroon,CMR,2022,9572651.0,Cameroon,Africa
Canada,CAN,2022,547943900.0,Canada,Americas
Central African Republic,CAF,2022,226226.0,Central African Republic,Africa
Chad,TCD,2022,2369204.0,Chad,Africa
Chile,CHL,2022,84377720.0,Chile,Americas
China,CHN,2022,11396777000.0,China,Asia
Colombia,COL,2022,99717870.0,Colombia,Americas
Comoros,COM,2022,412760.0,Comoros,Africa
Congo,COG,2022,7431930.0,Congo,Africa
Cook Islands,COK,2022,68043.0,Cook Islands,Oceania
Costa Rica,CRI,2022,7888694.0,Costa Rica,Americas
Croatia,HRV,2022,17526086.0,Croatia,Europe
Cuba,CUB,2022,20921022.0,Cuba,Americas
Cyprus,CYP,2022,7029358.0,Cyprus,Asia
Denmark,DNK,2022,29059308.0,Denmark,Europe
Djibouti,DJI,2022,453036.0,Djibouti,Africa
Dominica,DMA,2022,153220.0,Dominica,Americas
Dominican Republic,DOM,2022,23637946.0,Dominican Republic,Americas
Ecuador,ECU,2022,41613410.0,Ecuador,Americas
Egypt,EGY,2022,258951660.0,Egypt,Africa
El Salvador,SLV,2022,7714380.0,El Salvador,Americas
Equatorial Guinea,GNQ,2022,5076202.0,Equatorial Guinea,Africa
Eritrea,ERI,2022,696826.0,Eritrea,Africa
Estonia,EST,2022,10311845.0,Estonia,Europe
Eswatini,SWZ,2022,1265046.0,Eswatini,Africa
Ethiopia,ETH,2022,19073260.0,Ethiopia,Africa
Faroe Islands,FRO,2022,748133.0,Faroe Islands,Europe
Fiji,FJI,2022,1073925.0,Fiji,Oceania
Finland,FIN,2022,36163000.0,Finland,Europe
France,FRA,2022,297533920.0,France,Europe
French Polynesia,PYF,2022,873217.0,French Polynesia,Oceania
Gabon,GAB,2022,5705554.0,Gabon,Africa
Gambia,GMB,2022,770472.0,Gambia,Africa
Georgia,GEO,2022,11092909.0,Georgia,Asia
Germany,DEU,2022,665604700.0,Germany,Europe
Ghana,GHA,2022,20806944.0,Ghana,Africa
Greece,GRC,2022,59662764.0,Greece,Europe
Greenland,GRL,2022,591718.0,Greenland,Americas
Grenada,GRD,2022,340416.0,Grenada,Americas
Guatemala,GTM,2022,19193244.0,Guatemala,Americas
Guinea,GIN,2022,4953613.0,Guinea,Africa
Guyana,GUY,2022,3537124.0,Guyana,Americas
Haiti,HTI,2022,2446681.0,Haiti,Americas
Honduras,HND,2022,11159723.0,Honduras,Americas
Hong Kong,HKG,2022,30568888.0,Hong Kong,Asia
Hungary,HUN,2022,44353616.0,Hungary,Europe
Iceland,ISL,2022,3542503.0,Iceland,Europe
India,IND,2022,2829644300.0,India,Asia
Indonesia,IDN,2022,728883260.0,Indonesia,Asia
Iran,IRN,2022,690635260.0,Iran,Asia
Iraq,IRQ,2022,179080800.0,Iraq,Asia
Ireland,IRL,2022,38784012.0,Ireland,Europe
Israel,ISR,2022,56118090.0,Israel,Asia
Italy,ITA,2022,338097280.0,Italy,Europe
Jamaica,JAM,2022,6487594.0,Jamaica,Americas
Japan,JPN,2022,1053797800.0,Japan,Asia
Jordan,JOR,2022,22912578.0,Jordan,Asia
Kazakhstan,KAZ,2022,271178270.0,Kazakhstan,Asia
Kenya,KEN,2022,24851922.0,Kenya,Africa
Kiribati,KIR,2022,68043.0,Kiribati,Oceania
Kuwait,KWT,2022,109190000.0,Kuwait,Asia
Kyrgyzstan,KGZ,2022,9449704.0,Kyrgyzstan,Asia
Laos,LAO,2022,23193406.0,Laos,Asia
Latvia,LVA,2022,6591454.0,Latvia,Europe
Lebanon,LBN,2022,23904522.0,Lebanon,Asia
Lesotho,LSO,2022,3134694.0,Lesotho,Africa
Liberia,LBR,2022,876934.0,Liberia,Africa
Libya,LBY,2022,62961304.0,Libya,Africa
Liechtenstein,LIE,2022,149934.0,Liechtenstein,Europe
Lithuania,LTU,2022,12667216.0,Lithuania,Europe
Luxembourg,LUX,2022,7524108.0,Luxembourg,Europe
Macao,MAC,2022,1051646.0,Macao,Asia
Madagascar,MDG,2022,4403593.0,Madagascar,Africa
Malawi,MWI,2022,2094072.1,Malawi,Africa
Malaysia,MYS,2022,291071360.0,Malaysia,Asia
Maldives,MDV,2022,1701072.0,Maldives,Asia
Mali,MLI,2022,7038757.0,Mali,Africa
Malta,MLT,2022,1655127.0,Malta,Europe
Marshall Islands,MHL,2022,151206.0,Marshall Islands,Oceania
Mauritania,MRT,2022,4534088.0,Mauritania,Africa
Mauritius,MUS,2022,4249021.0,Mauritius,Africa
Mexico,MEX,2022,511971970.0,Mexico,Americas
Moldova,MDA,2022,5422021.0,Moldova,Europe
Mongolia,MNG,2022,37894484.0,Mongolia,Asia
Montenegro,MNE,2022,2292498.0,Montenegro,Europe
Montserrat,MSR,2022,21380.0,Montserrat,Americas
Morocco,MAR,2022,68411810.0,Morocco,Africa
Mozambique,MOZ,2022,8003215.0,Mozambique,Africa
Myanmar,MMR,2022,34922210.0,Myanmar,Asia
Namibia,NAM,2022,3952970.0,Namibia,Africa
Nauru,NRU,2022,52922.0,Nauru,Oceania
Nepal,NPL,2022,15499952.0,Nepal,Asia
Netherlands,NLD,2022,125358230.0,Netherlands,Europe
New Caledonia,NCL,2022,5115215.0,New Caledonia,Oceania
New Zealand,NZL,2022,32211814.0,New Zealand,Oceania
Nicaragua,NIC,2022,5550354.0,Nicaragua,Americas
Niger,NER,2022,3058157.0,Niger,Africa
Nigeria,NGA,2022,128759470.0,Nigeria,Africa
Niue,NIU,2022,7560.0,Niue,Oceania
Norway,NOR,2022,40808000.0,Norway,Europe
Oman,OMN,2022,71986390.0,Oman,Asia
Pakistan,PAK,2022,200199900.0,Pakistan,Asia
Palau,PLW,2022,219249.0,Palau,Oceania
Panama,PAN,2022,11899901.0,Panama,Americas
Papua New Guinea,PNG,2022,7823140.0,Papua New Guinea,Oceania
Paraguay,PRY,2022,9018049.0,Paraguay,Americas
Peru,PER,2022,60921110.0,Peru,Americas
Philippines,PHL,2022,150395980.0,Philippines,Asia
Poland,POL,2022,323117300.0,Poland,Europe
Portugal,PRT,2022,41605030.0,Portugal,Europe
Qatar,QAT,2022,101340350.0,Qatar,Asia
Romania,ROU,2022,73521290.0,Romania,Europe
Russia,RUS,2022,1652177300.0,Russia,Europe
Rwanda,RWA,2022,1547760.0,Rwanda,Africa
Saint Kitts and Nevis,KNA,2022,224486.0,Saint Kitts and Nevis,Americas
Saint Lucia,LCA,2022,470351.0,Saint Lucia,Americas
Saint Pierre and Miquelon,SPM,2022,60576.0,Saint Pierre and Miquelon,Americas
Saint Vincent and the Grenadines,VCT,2022,238739.0,Saint Vincent and the Grenadines,Americas
Samoa,WSM,2022,249491.0,Samoa,Oceania
Sao Tome and Principe,STP,2022,132255.0,Sao Tome and Principe,Africa
Saudi Arabia,SAU,2022,662549400.0,Saudi Arabia,Asia
Senegal,SEN,2022,11668435.0,Senegal,Africa
Serbia,SRB,2022,43506644.0,Serbia,Europe
Seychelles,SYC,2022,658828.0,Seychelles,Africa
Sierra Leone,SLE,2022,1129488.0,Sierra Leone,Africa
Singapore,SGP,2022,53252430.0,Singapore,Asia
Sint Maarten (Dutch part),SXM,2022,634261.0,Sint Maarten (Dutch part),Americas
Slovakia,SVK,2022,34151680.0,Slovakia,Europe
Slovenia,SVN,2022,12714800.0,Slovenia,Europe
Solomon Islands,SLB,2022,298633.0,Solomon Islands,Oceania
Somalia,SOM,2022,646921.0,Somalia,Africa
South Africa,ZAF,2022,404053980.0,South Africa,Africa
South Korea,KOR,2022,600999360.0,South Korea,Asia
South Sudan,SSD,2022,1833605.0,South Sudan,Africa
Spain,ESP,2022,245613820.0,Spain,Europe
Sri Lanka,LKA,2022,17327094.0,Sri Lanka,Asia
Sudan,SDN,2022,22013348.0,Sudan,Africa
Suriname,SUR,2022,3586520.0,Suriname,Americas
Sweden,SWE,2022,38050544.0,Sweden,Europe
Switzerland,CHE,2022,35380164.0,Switzerland,Europe
Syria,SYR,2022,27635256.0,Syria,Asia
Taiwan,TWN,2022,277900930.0,Taiwan,Asia
Tajikistan,TJK,2022,10017384.0,Tajikistan,Asia
Tanzania,TZA,2022,15569999.0,Tanzania,Africa
Thailand,THA,2022,270746370.0,Thailand,Asia
Togo,TGO,2022,2575560.0,Togo,Africa
Tonga,TON,2022,189008.0,Tonga,Oceania
Trinidad and Tobago,TTO,2022,34331736.0,Trinidad and Tobago,Americas
Tunisia,TUN,2022,35576780.0,Tunisia,Africa
Turkey,TUR,2022,435684600.0,Turkey,Asia
Turkmenistan,TKM,2022,70958350.0,Turkmenistan,Asia
Turks and Caicos Islands,TCA,2022,349200.0,Turks and Caicos Islands,Americas
Tuvalu,TUV,2022,11340.0,Tuvalu,Oceania
Uganda,UGA,2022,6021782.0,Uganda,Africa
Ukraine,UKR,2022,141253000.0,Ukraine,Europe
United Arab Emirates,ARE,2022,243895220.0,United Arab Emirates,Asia
United Kingdom,GBR,2022,318654370.0,United Kingdom,Europe
United States,USA,2022,5057303600.0,United States,Americas
Uruguay,URY,2022,7893098.0,Uruguay,Americas
Uzbekistan,UZB,2022,120610190.0,Uzbekistan,Asia
Vanuatu,VUT,2022,207909.0,Vanuatu,Oceania
Venezuela,VEN,2022,76892000.0,Venezuela,Americas
Vietnam,VNM,2022,343606620.0,Vietnam,Asia
Wallis and Futuna,WLF,2022,26461.0,Wallis and Futuna,Oceania
Yemen,YEM,2022,11356347.0,Yemen,Asia
Zambia,ZMB,2022,8921889.0,Zambia,Africa
Zimbabwe,ZWE,2022,8855981.0,Zimbabwe,Africa
