Entity,Code,Year,Annual COâ‚‚ emissions,No_Smoothing,Lowess(5)
World,OWID_WRL,1880,853916350.0,-0.17,-0.1
World,OWID_WRL,1881,883544060.0,-0.09,-0.13
World,OWID_WRL,1882,933360100.0,-0.11,-0.17
World,OWID_WRL,1883,992753600.0,-0.18,-0.2
World,OWID_WRL,1884,1004134100.0,-0.28,-0.24
World,OWID_WRL,1885,1011637100.0,-0.33,-0.26
World,OWID_WRL,1886,1027417500.0,-0.31,-0.27
World,OWID_WRL,1887,1078746900.0,-0.36,-0.27
World,OWID_WRL,1888,1194352600.0,-0.17,-0.26
World,OWID_WRL,1889,1194624000.0,-0.1,-0.25
World,OWID_WRL,1890,1300362400.0,-0.35,-0.25
World,OWID_WRL,1891,1361750100.0,-0.22,-0.26
World,OWID_WRL,1892,1372396500.0,-0.27,-0.27
World,OWID_WRL,1893,1355477200.0,-0.32,-0.26
World,OWID_WRL,1894,1403019100.0,-0.32,-0.24
World,OWID_WRL,1895,1487432300.0,-0.23,-0.23
World,OWID_WRL,1896,1536365600.0,-0.11,-0.21
World,OWID_WRL,1897,1609231600.0,-0.11,-0.18
World,OWID_WRL,1898,1697166300.0,-0.27,-0.17
World,OWID_WRL,1899,1853709200.0,-0.18,-0.17
World,OWID_WRL,1900,1952209500.0,-0.08,-0.2
World,OWID_WRL,1901,2016744400.0,-0.16,-0.23
World,OWID_WRL,1902,2067683800.0,-0.28,-0.26
World,OWID_WRL,1903,2254100200.0,-0.37,-0.28
World,OWID_WRL,1904,2279747300.0,-0.47,-0.31
World,OWID_WRL,1905,2427318300.0,-0.26,-0.34
World,OWID_WRL,1906,2534733000.0,-0.22,-0.36
World,OWID_WRL,1907,2888318000.0,-0.39,-0.37
World,OWID_WRL,1908,2776440800.0,-0.43,-0.39
World,OWID_WRL,1909,2890495000.0,-0.48,-0.41
World,OWID_WRL,1910,3034089700.0,-0.43,-0.41
World,OWID_WRL,1911,3079502000.0,-0.44,-0.39
World,OWID_WRL,1912,3235963600.0,-0.36,-0.35
World,OWID_WRL,1913,3506275800.0,-0.34,-0.32
World,OWID_WRL,1914,3180355600.0,-0.15,-0.31
World,OWID_WRL,1915,3134854000.0,-0.14,-0.3
World,OWID_WRL,1916,3385858300.0,-0.36,-0.3
World,OWID_WRL,1917,3540426800.0,-0.46,-0.3
World,OWID_WRL,1918,3493264100.0,-0.3,-0.3
World,OWID_WRL,1919,3029006600.0,-0.28,-0.3
World,OWID_WRL,1920,3521427500.0,-0.27,-0.28
World,OWID_WRL,1921,3090096600.0,-0.19,-0.27
World,OWID_WRL,1922,3240313900.0,-0.29,-0.26
World,OWID_WRL,1923,3676233200.0,-0.27,-0.24
World,OWID_WRL,1924,3687220200.0,-0.27,-0.23
World,OWID_WRL,1925,3727033600.0,-0.22,-0.22
World,OWID_WRL,1926,3661030400.0,-0.11,-0.22
World,OWID_WRL,1927,3996128800.0,-0.22,-0.21
World,OWID_WRL,1928,3978763300.0,-0.2,-0.2
World,OWID_WRL,1929,4270907600.0,-0.36,-0.19
World,OWID_WRL,1930,3938598400.0,-0.16,-0.19
World,OWID_WRL,1931,3519903200.0,-0.09,-0.18
World,OWID_WRL,1932,3173476400.0,-0.15,-0.17
World,OWID_WRL,1933,3341518300.0,-0.28,-0.16
World,OWID_WRL,1934,3634241800.0,-0.12,-0.15
World,OWID_WRL,1935,3814798300.0,-0.2,-0.13
World,OWID_WRL,1936,4185513700.0,-0.14,-0.1
World,OWID_WRL,1937,4474233000.0,-0.02,-0.06
World,OWID_WRL,1938,4206901000.0,0.0,-0.01
World,OWID_WRL,1939,4451247000.0,-0.01,0.04
World,OWID_WRL,1940,4861346000.0,0.13,0.07
World,OWID_WRL,1941,4970814500.0,0.19,0.09
World,OWID_WRL,1942,4959586000.0,0.07,0.11
World,OWID_WRL,1943,5041694000.0,0.09,0.1
World,OWID_WRL,1944,5117908500.0,0.21,0.08
World,OWID_WRL,1945,4257136000.0,0.09,0.04
World,OWID_WRL,1946,4646123500.0,-0.07,0.01
World,OWID_WRL,1947,5145782000.0,-0.02,-0.03
World,OWID_WRL,1948,5424953000.0,-0.1,-0.07
World,OWID_WRL,1949,5181006000.0,-0.11,-0.08
World,OWID_WRL,1950,5929342000.0,-0.17,-0.07
World,OWID_WRL,1951,6381405700.0,-0.07,-0.07
World,OWID_WRL,1952,6467437000.0,0.01,-0.07
World,OWID_WRL,1953,6650861600.0,0.08,-0.07
World,OWID_WRL,1954,6789497300.0,-0.13,-0.06
World,OWID_WRL,1955,7443861000.0,-0.14,-0.06
World,OWID_WRL,1956,7925980700.0,-0.19,-0.05
World,OWID_WRL,1957,8185614000.0,0.05,-0.04
World,OWID_WRL,1958,8417160000.0,0.06,-0.01
World,OWID_WRL,1959,8854662000.0,0.03,0.01
World,OWID_WRL,1960,9386421000.0,-0.03,0.03
World,OWID_WRL,1961,9414383000.0,0.06,0.01
World,OWID_WRL,1962,9746556000.0,0.03,-0.01
World,OWID_WRL,1963,10266046000.0,0.05,-0.03
World,OWID_WRL,1964,10823619000.0,-0.2,-0.04
World,OWID_WRL,1965,11309690000.0,-0.11,-0.05
World,OWID_WRL,1966,11861708000.0,-0.06,-0.06
World,OWID_WRL,1967,12236328000.0,-0.02,-0.05
World,OWID_WRL,1968,12904336000.0,-0.08,-0.03
World,OWID_WRL,1969,13760840000.0,0.05,-0.02
World,OWID_WRL,1970,14898157000.0,0.02,-0.01
World,OWID_WRL,1971,15502787000.0,-0.08,0.0
World,OWID_WRL,1972,16223440000.0,0.01,0.0
World,OWID_WRL,1973,17083500000.0,0.16,-0.0
World,OWID_WRL,1974,17009382000.0,-0.07,0.01
World,OWID_WRL,1975,17049979000.0,-0.01,0.02
World,OWID_WRL,1976,17985243000.0,-0.1,0.04
World,OWID_WRL,1977,18494652000.0,0.18,0.07
World,OWID_WRL,1978,19063955000.0,0.07,0.12
World,OWID_WRL,1979,19603001000.0,0.16,0.16
World,OWID_WRL,1980,19482442000.0,0.26,0.2
World,OWID_WRL,1981,19016950000.0,0.32,0.21
World,OWID_WRL,1982,18865373000.0,0.14,0.22
World,OWID_WRL,1983,18985900000.0,0.31,0.21
World,OWID_WRL,1984,19641730000.0,0.16,0.21
World,OWID_WRL,1985,20305132000.0,0.12,0.22
World,OWID_WRL,1986,20607515000.0,0.18,0.24
World,OWID_WRL,1987,21245784000.0,0.32,0.27
World,OWID_WRL,1988,22077385000.0,0.39,0.31
World,OWID_WRL,1989,22378970000.0,0.27,0.33
World,OWID_WRL,1990,22752700000.0,0.45,0.33
World,OWID_WRL,1991,23229475000.0,0.4,0.33
World,OWID_WRL,1992,22567199000.0,0.22,0.33
World,OWID_WRL,1993,22798350000.0,0.23,0.33
World,OWID_WRL,1994,23034776000.0,0.32,0.34
World,OWID_WRL,1995,23524491000.0,0.45,0.37
World,OWID_WRL,1996,24250161000.0,0.33,0.4
World,OWID_WRL,1997,24395952000.0,0.46,0.42
World,OWID_WRL,1998,24330945000.0,0.61,0.44
World,OWID_WRL,1999,24833495000.0,0.38,0.47
World,OWID_WRL,2000,25501286000.0,0.39,0.5
World,OWID_WRL,2001,25674930000.0,0.53,0.52
World,OWID_WRL,2002,26248288000.0,0.63,0.55
World,OWID_WRL,2003,27648650000.0,0.62,0.58
World,OWID_WRL,2004,28620194000.0,0.53,0.61
World,OWID_WRL,2005,29592103000.0,0.67,0.62
World,OWID_WRL,2006,30605767000.0,0.63,0.62
World,OWID_WRL,2007,31499735000.0,0.66,0.63
World,OWID_WRL,2008,32041902000.0,0.54,0.64
World,OWID_WRL,2009,31493265000.0,0.65,0.64
World,OWID_WRL,2010,33306330000.0,0.72,0.64
World,OWID_WRL,2011,34436470000.0,0.61,0.66
World,OWID_WRL,2012,34935450000.0,0.65,0.69
World,OWID_WRL,2013,35232470000.0,0.67,0.74
World,OWID_WRL,2014,35466195000.0,0.74,0.78
World,OWID_WRL,2015,35463213000.0,0.89,0.83
World,OWID_WRL,2016,35460026000.0,1.01,0.87
World,OWID_WRL,2017,36025455000.0,0.92,0.91
World,OWID_WRL,2018,36766945000.0,0.85,0.92
World,OWID_WRL,2019,37040103000.0,0.98,0.93
World,OWID_WRL,2020,35007738000.0,1.02,0.93
World,OWID_WRL,2021,36816544000.0,0.84,0.94
World,OWID_WRL,2022,37149786000.0,0.89,0.9
